latitude,longitude,satellites,speed,altitude,heading,temperature,bpm,year,month,day,hours,minutes,seconds,centiseconds
45.3256490,9.6948672,7,0.0,76.1,0.0,28.8,0,2021,05,10,17,56,36,00
45.3256490,9.6948670,7,0.0,76.1,0.0,28.8,0,2021,05,10,17,56,36,10
45.3256490,9.6948670,7,0.1,76.0,0.0,28.8,0,2021,05,10,17,56,36,20
45.3256488,9.6948670,7,0.1,76.0,0.0,28.8,0,2021,05,10,17,56,36,30
45.3256488,9.6948670,7,0.0,76.0,0.0,28.8,0,2021,05,10,17,56,36,40
45.3256488,9.6948670,7,0.1,76.0,0.0,28.8,0,2021,05,10,17,56,36,50
45.3256488,9.6948670,7,0.0,76.0,0.0,28.8,0,2021,05,10,17,56,36,60
45.3256488,9.6948670,7,0.1,75.9,0.0,28.8,0,2021,05,10,17,56,36,70
45.3256488,9.6948670,7,0.1,75.9,0.0,28.8,0,2021,05,10,17,56,36,80
45.3256488,9.6948672,7,0.0,75.9,0.0,28.8,0,2021,05,10,17,56,36,90
45.3256488,9.6948672,7,0.1,75.9,0.0,28.8,0,2021,05,10,17,56,37,00
45.3256487,9.6948672,7,0.1,75.9,0.0,28.8,0,2021,05,10,17,56,37,10
45.3256487,9.6948672,7,0.0,75.9,0.0,28.8,0,2021,05,10,17,56,37,20
45.3256487,9.6948673,7,0.1,75.9,0.0,28.8,0,2021,05,10,17,56,37,30
45.3256487,9.6948673,7,0.1,75.9,0.0,28.8,0,2021,05,10,17,56,37,40
45.3256487,9.6948673,7,0.1,75.8,0.0,28.8,0,2021,05,10,17,56,37,50
45.3256485,9.6948675,7,0.1,75.8,0.0,28.8,0,2021,05,10,17,56,37,60
45.3256485,9.6948677,7,0.1,75.8,0.0,28.8,0,2021,05,10,17,56,37,70
45.3256483,9.6948678,7,0.1,75.8,0.0,28.8,0,2021,05,10,17,56,37,80
45.3256483,9.6948680,7,0.0,75.8,0.0,28.8,0,2021,05,10,17,56,37,90
45.3256483,9.6948680,7,0.0,75.8,0.0,28.8,0,2021,05,10,17,56,38,00
45.3256482,9.6948680,7,0.1,75.8,0.0,28.8,0,2021,05,10,17,56,38,10
45.3256482,9.6948680,7,0.0,75.8,0.0,28.8,0,2021,05,10,17,56,38,20
45.3256482,9.6948682,7,0.1,75.7,0.0,28.8,0,2021,05,10,17,56,38,30
45.3256482,9.6948682,7,0.1,75.7,0.0,28.8,0,2021,05,10,17,56,38,40
45.3256480,9.6948682,7,0.1,75.7,0.0,28.8,0,2021,05,10,17,56,38,50
45.3256482,9.6948682,7,0.1,75.7,0.0,28.8,0,2021,05,10,17,56,38,60
45.3256480,9.6948682,7,0.0,75.7,0.0,28.8,0,2021,05,10,17,56,38,70
45.3256480,9.6948682,7,0.1,75.6,0.0,28.8,0,2021,05,10,17,56,38,80
45.3256480,9.6948682,7,0.2,75.6,0.0,28.8,0,2021,05,10,17,56,38,90
45.3256480,9.6948682,7,0.1,75.6,0.0,28.8,0,2021,05,10,17,56,39,00
45.3256480,9.6948682,7,0.1,75.6,0.0,28.8,0,2021,05,10,17,56,39,10
45.3256480,9.6948682,7,0.1,75.6,0.0,28.8,0,2021,05,10,17,56,39,20
45.3256478,9.6948682,7,0.0,75.5,0.0,28.8,0,2021,05,10,17,56,39,30
45.3256478,9.6948680,7,0.1,75.5,0.0,28.8,0,2021,05,10,17,56,39,40
45.3256478,9.6948680,7,0.2,75.5,0.0,28.8,0,2021,05,10,17,56,39,50
